Español,1,La Casa,La Madre
Español,2,El Árbol,El Padre
Español,3,La Flor,La Mujer
Español,4,La Llave,El Hombre
Español,5,El Automóvil,Tu Personalidad
Español,6,El Manantial,La Vida
Español,7,El Camino,Las Metas
Español,8,Las Piedras,Los Obstáculos
Español,9,Las Manos,El Trabajo
Español,10,El Sol,El Éxito
Inglés,1,The House,The Mother
Inglés,2,The Tree,The Father
Inglés,3,The Flower,The Woman
Inglés,4,The Key,The Man
Inglés,5,The Car,Your Personality
Inglés,6,The Spring Water,The Life
Inglés,7,The Road,The Goals
Inglés,8,The Stones,The Obstacles
Inglés,9,The Hands,The Job
Inglés,10,The Sun,The Success